textID,preprocessed_text,Length_of_Preprocessed_Text,class
58d6f9f5c5,tried registering website get error browsers firefox chrome safari,9,1
7acf16e8c4,fann coming sowwy,3,1
5fabfff1b3,adsense exchange rate inr,4,0
dbd1b3b11b,get hitched get,3,0
a6aada51a6,trying baby not want soda addiction problem quit still sad craving though,12,1
385bb6094d,psy taking psy starting monday not looking forward going back school,11,1
eff6700d43,think ups web site hates still brewing supply package held hostage work slow ups delivery,15,1
13889237c6,another day could not find ended trying another cart not remember name isigh,13,0
cc443795be,sick right thankful chicken soup bed,6,0
f501022778,mean portfolio sad luck applied places far,7,1
d7fd58d79a,working weekend looks like,4,0
f9c1f46fc1,heading relay belfast marathon,4,0
b9d9d64cc5,miss puppies,2,1
a518a3fce5,landon announces big poopy coming every time waiting yell store first time,12,0
490d822c76,not anymore exams days left relized bad thing good thing dont know,12,0
72f3016b57,wow not free wifi pay parking reduculous,7,1
2d6b3e1c79,working allll day long,4,0
d37c1d2964,headache killen,2,1
0bed5c0d04,school knows expect bring life suprises,6,0
bed4306d9b,inconsiderate,1,1
9197df16e5,hate different referenced assemblies fnh goes castle caliburn not mention dynamicproxy,11,1
a6c6ef73cd,eat sleep draw part neuroanatomy take home test part neuro http bit fxs,13,0
a765a91722,thats spent weekend far,4,0
d7eff05eb3,ooooh jealous might try get saturday exam monday gonna fail,10,1
45782bf305,eating tomato squirted,3,1
01cf51125c,check review movie fighting http bit fle hilarious leave guy comment,11,0
8d623622d0,starting shift going miss like hour lakers game,8,1
1aeb33160a,cleaned four bathrooms afternoon yes ahead feel sorry lol mine still waiting attention,13,1
9560d86f87,scared mouse figure scared maybe deal fear,7,0
a19589756e,enough studying whew time sleep,5,0
ad528b89c5,not know write anymore mind must tired past midnight already tour philippines,12,1
ab4efd8fbc,know list miss conflicting plans,5,1
6a21655365,lol last winter months ago december seattle felt like siberia last winter,12,0
79f0f587fd,content life moment,3,0
9bf41d3d1d,ugh hate photobucket amazing place edit pictures www picnik com use alll time,13,1
3a6ca862f5,lonely right maybe sade got feeling like,7,1
684081e4e7,ratt rocked nashville tonite one thing sucked encore like still fun show pearcy hott bad boy look,17,0
dfd17c5926,whooops wrong smiley supposed lol,5,1
e8f3f93649,cause not hearing guys,4,0
31fd533818,watching phil special marriage sad ignorant people,7,1
8c644ad7b2,work miss home news,4,1
babf4b1bda,creative vado stock walmart com missed thanks tweeting,8,0
18dcc2b561,files got deleted,3,1
0021d708e3,sorry anna wintour repeated tweets sooo sorry somethings wondering abt quad tweet,12,1
231cbd5800,come sept start school,4,0
429b29a809,got cofo late not close today close monday back meet buyer tonight show homes,14,0
d33d7fde34,created new album facebook phantom cross stitch want track progress feel like getting something done,15,0
3e6cc1a2d8,back laaandan miss already check new giant purple bow gold wing necklace http tinyurl com,15,1
270aa8873d,going hate around baby,4,1
ce1e980a78,dint dump anyone always gets dumped blamed not believe relationships twpp,11,1
9327aa5881,going watch dvd hubby eagle eye twit morrow cia,9,0
c0b18e3f94,yes feasts left,3,0
877728a598,packing fun good thing new united keep going still fun,10,1
af67f7e705,wack put swimsuit regular pants least,6,0
baf230298b,hmv,1,0
f93d61fe85,awww missed twitpic,3,1
72d7a1dafb,battery low boooooooo palm springs http loopt sljbw,8,1
497a218fb8,note self never ever leave macbook pro stupid icurve fell,10,1
fcbf31b293,clamped haha,2,0
07d9362105,either always train work,4,0
95f908a1d1,saw costa pancras didnt much time drink next time try,10,0
4828f724e8,friends know retract last statement thennnnnnnn,6,0
112a5320b5,invite house instead,3,0
00fa03b2d6,going bed soon,3,0
e5e311c0c8,hey thanks following going,4,1
b445738288,bed not sleep something missing,5,1
4f566959d3,ugh rude,2,1
7de9e9769b,saw male baltimore oriole suet feeder something enjoyed lot thistle new thistle feeder early,14,0
d7c12af170,suck horribly world even balance,5,1
8a7feebc4b,boring ugh come back,4,1
56d8b56feb,everyone going hometown show excited get thames street gonna see original thames river ohhhh,14,1
4300bf9b9d,speaking need talk soon,4,0
2d420214f4,know still want see,4,0
54db2ebee1,staying home work linoleum block carving project due tomorrow probably pictures,11,0
a5b07eff7a,finn except dropped break got ding side least not screen,10,0
18cf31009a,phone calls like often different subject result feeling beaten pulp left dead,12,0
7c588f883e,henrie answer plz,3,0
a1f191b535,prepare,1,0
fe25f1c18b,like tha comp hella wack gud djs got free gud,10,0
8ad9eb4106,get baby sent twitter messages behalf,6,0
2ef36ff41a,drink club drinking past hours http twitpic com,8,0
b4c5fc2479,got answered,2,0
a5a6753664,finally installed ovi mobile would good could downloaded comp installed mobile frickin download,13,0
059cd6f00a,stoked seeing jonas brothers,4,0
866788e7e4,lack hunt lol refresh memory one clue,7,1
a6a1c005b9,not goin way til dix gets swimming tomorrow,8,0
f023803c3e,got news,2,0
bd06936601,got home not wanting read last chaper breaking dawn cause dont want beover,13,0
b7d300e8c7,hahah wish true really really bad gonna stay home chill tonight usual really wanted,14,0
f1d8f49520,morning john yes however diary clash sadly not attend,9,0
edffb44320,tatteddddd,1,0
ebce21193c,yes ama party show next week,6,0
46f1ba10a6,degrees crappy,2,1
08a5586215,matt weiters first bat fly,5,0
d46f9acd72,finished watching copy twilight dvd ganda mga deleted extended scenes http plurk com svkch,14,0
8f5adc47ec,http twitpic com wanted visit animals late,7,1
658f464562,freddies cotch ladyhawke missing bajan beauty,6,1
b6c0001c04,internet access board means see bad weather flying http bit,10,0
c0b7994ca0,need play something mary poppins everyone knows rooms get tidy,10,0
19bcc429e1,may suggest http kxkw,4,0
7368ef9ef0,full need cleanup lot,4,0
ea6498f2a0,ooh bell whatchu goin monsterpalooza weekend ink not stressed contestant year miss,12,0
276e7c36a0,went hairdresser today cutted hair loved long hair dad said could not even see got haircut laaame,17,0
287b149e5b,exchange story gone yaaaay sweet charity,6,0
195fedfb9b,change plans not seeing today,5,0
433cb03f2a,tummy hurts,2,1
b409e780c7,probably not next week though,5,0
8fee3fb6a4,early wanna back sleeep,4,0
fb6da9be32,ooooh kay time stop twitterin get going,7,0
02e6423e39,bumping opus drunk car lmao not act like not know,10,1
999983bd97,nic idea going money gone,5,1
f0430ad644,dad taking school picking tomoz plus drama almost day score bludge day,12,1
a395c6210f,thinking control thoughts,3,1
331dce499e,man texting telling wants come say tired lol punk says bring redbull kfc,13,0
6317850d9c,home fam see como tomorrow,5,0
61bfafe955,kate,1,0
2a23171680,sorry back food calling name lol good sorry not said sooner lol,12,0
c39091da20,already missing biddy bops home mom night watching little bro getting rest birthday party tomorrow,15,0
1127006912,totally confused bored life must change,6,1
f5bafd107f,fuckyoumonday like totally tastic rainy day work hugs,8,1
e2fd5809fe,whyyyy hellloooo thx checkin things http myloc,7,0
efde16371f,moon mean jim bob obviously fruitbat think jim bob played brixton weekend cldnt,13,0
b8f35742f2,hey second kind sad guitar guitar guitar bbq good time,10,0
4b465e55e9,father house not question domestic food people around bed world dont know,12,0
57342ea5db,epic ocd moment deleted sims file spent hours building set favorite food wrong,13,1
6c0f3abe84,wow definitely friday gym completely empty would like play wii guess vacuum,12,0
8b4c16d307,san diego move although whether right pretty cold waiting suck surf love,12,0
8109f290a4,new mobile advert trafalger square looks like lot fun except load pigeons,12,0
d5717403b1,word ima summer move back lol,6,0
caa18c44e3,ohh boy babys tooth came,5,1
df10d3b9ae,hair dyed today ugh bored still tired friday lol swear bossman,11,1
b718f8e1ec,ugh dont feel like going work today,7,1
dceade7e18,bad day ever graduation,4,1
c48e16fcba,sunburn hurts,2,1
57326afaa8,wishing attending beatweetup even bought badge,6,0
f08ecbc3e8,tweeten tix deals nkotb http tinyurl com nkotbtweetentixsdeal seat prices nkotb dates,12,0
8ffe59be2c,jazz nope back weeks sigh,5,0
2d5648ba3c,see,1,0
c43afe6e51,got rear ended,3,0
264cd5277f,tired not really exciting saturday well hope good tomorrow,9,0
9c1b670a75,finally finished setting account switch week,6,0
a67d82b862,tell everyone food bad one understands horror,7,1
e405c7478c,not feeling well,3,1
da2bf1eb03,day beasted,2,1
e61d64740e,yeah not sound indie enough need learn tunes pick style hour,11,0
41d2178a72,went run sinuses pissing,4,1
f4d97a5add,not texting,2,0
2262e34ae2,http twitpic com jhp waitin tell plan,7,0
c13f86cebb,http chelseavantol etsy com,4,0
c9d6997a02,wats gooood miss yall already,5,1
14764fb41b,best part notting hill daft prick haha love,8,0
1fb2cc30c5,notion video deleted,3,0
dddef5ad8b,trying find foreign place foreign town lost,7,1
03e46c1389,reading magazine,2,0
923f7ee786,told often wash hair would never speak,7,0
28d8ef8118,free wifi vacay ruined,4,1
17ebc1d633,sore throat since monday morning sick hurtin want freakin sleep,10,1
ece19db61c,thinking tonight plans not gonna happen sigh sadface not surprised,10,1
94e82d1574,people pencils sharp not sharpened pencil philosophy,7,0
85623a8716,time close today last day today tmr may shed tear,10,1
6809a2d654,wanda sykes,2,0
0fd3939a41,rught brb ipod randomly cos internet breaks,7,0
4900e9dc87,know,1,0
2d813d9258,not replying people seriously not refreshed twitter sorry thanks,9,0
6ba9881569,tech update know nutty newsire twitterfeed ones coming links not lazy without links lol,14,0
53ef446838,oops forgot barbecue work today not need pack lunch,9,1
71705f4bfc,not seen enough movies know something terrible happen lol,9,1
9d9e65ced2,think may ruined friendship week getting carried away,8,1
ce69e99e71,not sleeping accepts appology,4,1
6e3eca51b2,kind like birthday days long,5,0
2319814485,zul jin think spell doubt ever meet,7,0
af45cd98f8,pange ahahahahaha two could meet drinks,6,0
008c725d0d,especially vampire,2,0
f677347ef5,way lake geneva miss laura,5,1
32008edd6a,want see,2,0
4f5f302b6d,omg never got message not notice looking back ways sorry good idea though lol,14,0
5a6a6d64dd,mayb raped young,3,0
fc4caebc32,cupcakes gave heartburn,3,1
5f95597b32,lol well insomnia since since dont sleep lot hours ones great,11,0
2f05c39046,exhausted great weekend looking forward week,6,0
2485ca29ee,must applied jobs every day week not one contact,9,0
a6b8011c84,got english lesson drinking sprite,5,0
f605712477,checking ciege cagalawan collection regretting not see collection tonight got invites,11,1
19d057f13d,news flash megaredpacket instant internet empire early bird launch check deal http mega redpacket com,15,0
7fd4c534d0,xmas week early hehe least not last min shopping,9,0
375b64de34,sooo tired headache self inflicted course good times though,9,0
29fa1f6ee0,unhappy return occupying city cry,5,1
3b038ed040,pic wont load twitter,4,1
96400a5051,really well want gether next,5,0
545f3f0247,not know say except hugs,5,0
ea45ac5a83,lol biking manly,3,0
f94fce05ec,stay great mother gave cold flu left still cough,9,0
0482ed2371,spring cleaning episode really,4,0
f2e422b4a2,tanya jealous mike new favorite tried kiss weekend pictures follow com,11,0
976c044d4b,good morning plans day nope nothing interesting,7,0
eabb71a3dc,hurts sunshine weekend not get play sad,7,1
e2b598f6c5,yes rather finished starting dead like lollll,7,0
3379051ba9,like old days drinkin old spot,6,0
642b5ea30e,amon talking philos ophy love wisdom need mat context intersubjectively ground,11,0
13d1cd323a,back hurts heating pad stupid ladder collapse make fall back bum,11,1
8cb495d78b,thinks coast capital sent work number telemarketers,7,0
b451466d97,soooooo true not dare ask something like,7,0
1f610e218d,thanks shoutout stuck extra username tho link not work,9,0
934e796761,today productive gym lots lots writing late,7,0
4b9e94e2d8,lol yep sure although must get house today,8,0
4683460ce7,lost game points,3,1
1040af3de2,well movie night spoilt fracked disk happiness gone time sleep,10,1
1d0ee4b5dc,follow girl meagan,3,0
893c270d85,bored goin maintenance,3,1
cd4e9ab634,tis cool still stand former proclamation stubborn way rebellioustwitwhoknowsacoolcatcook lol,10,0
e8ea30cd58,crowdsourcing failed,2,1
f1a1a63fe4,fire call today missed,4,1
bbeb862b32,haha gunna buy whole bunch emo punk clothes,8,0
22982a3021,adoreeeee matt nathanson jealous right,5,0
8e0ee58774,tooo fly boo,3,0
f7fadafda2,tyring pack aruba trip soul beach music fest,8,0
aa174f264a,impressive fever best wishes hope nothing serious,7,0
05629e13d6,love loads hun hot weather gutted aint chillaxing got tomoz xxxx,11,0
b5e4c9dc03,know considering bought lot new yarn recently think necessary time,10,0
409d9ffff3,sorry not see twitter user named,6,0
b3dc5ec553,got early ton headed cherokee park run walk,8,0
7ba2bb1561,already books,2,0
95a60b53a0,angrrry account got deleted wtf poems ever written,8,1
ed5d8644c2,klaudine,1,0
7885da9927,crazy kids stress try effed not effed followed acceptance works wonders rest world,13,0
ec2ff2e6ae,prefer overcast days sorry hot,5,0
498947d194,post late not comp,4,0
2db14f826e,writing paper lot hard thought lol,6,1
47dde4db6b,sympathies minutes enough escape soon,5,0
160c8a53c5,yes otherdad wait back sleep cause mischief,7,0
dc0d1fc43d,bah dhcp server must keep falling face,7,0
a58daaab6b,not win kelly clarkson tickets sorry cecilia really wish could give much deserve,13,1
be2f474842,sorry lol never like actual time spend unfortunately everything always insane,11,1
ff2c2e8d32,would still involve standing lol windows high guess gonna,9,0
fb1836fb4e,not want come not come jeeeeez,6,1
fe0abe1754,twittering days,2,0
04aaabac04,speechless,1,0
638272e500,missd otha disney day yesterday,5,1
89e955d693,yesh potato guy online hes not live,7,0
898c6d80b6,sleep sleep seem forgottten meaning much mind usual insonmia,9,0
0acb5a4bae,sad best friend selfish heartless exclude life completely sad,9,1
5c1b4196fb,not even question question,4,0
35f7411ccf,beer excellent excuse early sweating god knows much not looking forward working tomorrow,13,1
aa0443d930,still changed avatar,3,0
883887be88,year graduation pretty sure not ready,6,1
0262263a60,also trying get house ready sell not believe much,9,1
cfc8ece057,haha expensive let message late,5,1
c3c1abb017,trying find friends not luck,5,1
72e3305a2f,missing birthday,2,1
f84b89a828,sounds like,2,0
f8741b21a3,waiting jonas come,3,0
8e917d2a5f,dedicating next hours cleaning house,5,0
bd229715c7,limited able sync exchange account iphone goes outlook not lame,10,1
50f515d454,going london,2,0
1729c2c311,sorry pets,2,1
5be74ce986,bored always much fun companion missing bff alreadyyyy,8,0
28d12bef16,hey crop photoshop play around composition looks good large etc,10,0
5f5d91eabc,shhhweeeet jay bros back prom,5,0
42b4c0e6a4,bummed not open house today woke stomach bug blech fun,10,0
91956c5018,firefly nathan fillion,3,0
3236f06649,guess not talking orlando magic nothing magical,7,1
a2adf8f673,planning road trip san diego detour vegas celebrate birthday bad wks away want,13,0
d021fb6cf6,spray non smelling repellant stinks high heaven,7,0
8a4d03ab8d,poor dear fellow mavens gym belong peac,7,1
3a1058218c,england,1,0
cc1fb77b34,awe work bbq moi weekend,5,0
af98925f4a,trying sleep watching cnn thinking todays meeting work best buy life well whatever pays alcohol,15,0
b3f5692575,yeah guess gotta wait til sometime june,7,0
1856926f65,sounds bed poor girl,4,1
ba5402b5ce,ordered new computer unfortunately not get end june,8,1
55f3aa08a3,creepy lolipop guy play head esploder,6,0
c2fe4478f1,twitter hate cant put photos page,6,1
c8fedd6f7e,head hurts feel sick work tomorrow,6,1
a64c3a938c,ahhhhhhhhh man blew amp shredding,5,1
9a20c80b2a,guess girlie still gym work,5,0
5189c47d63,dont like dentist make gums hurt,6,1
f1f2fda39a,cried eyes watching girl last period hahah,7,1
88bc296af6,yeah explained everything,3,0
7d85365781,sis got cars lost job used make good money works mcdonalds nobody hire,13,0
51f143ac9d,leaving atlanta morning catch joco excited missed con last year made sad owl,13,0
c723f71152,faa thaa night movie night,5,0
2756df3899,feel useless not know right bored,6,1
61813349f7,ofcourse wait last minute run experiment work supervise aka dont get leave work time,14,0
1a9451c9e4,poor phone nekkid without cover,5,1
ffce24e081,oprah jumped front,3,1
d31b1fafb0,accidentally listened rick ross,4,1
08409371f8,must wookiee,2,0
56cf13b2e5,closing sale not look good,5,1
7418edf469,fyi also turkish star wars rip http bit aesnk,9,1
f69f246468,never get followfridays,3,0
0d709a4c51,hay wats aim chat,4,0
d40568560a,fieldwork databook slept awkwardly bones sore,6,1
c46e95a99b,mckay sadly sitting inside mobile signal not work garden opening wine bang though,13,1
4105e98785,got back work naman new,5,0
01f7a3b229,chile deg winter coming cant wait cali sun,8,0
2250a4bd68,good nodding one lol,4,0
b4458fd6a5,nanay cried reading card gave hugged next thing knew crying haha cry babies love,14,0
cb81a92735,time bed wish someone laying next,6,1
887afb0d2f,unfortunately know would like avoiding,5,0
836a5b840a,raining boo,2,0
7daac1313d,iced coffee vanilla ice cream uber sick mix,8,1
ccd7ec7e18,gawd rain strong,3,1
392d2d7d69,jean think get states probably still touring not dammit,9,1
6eef4f572c,fact room hot making feel sick,6,1
0057e9145b,stop following not cool enough,5,1
0370c393f0,not looking forward crazy commute come everything going,8,0
8c165956ef,supernatural http twitpic com mishaaaaaaaa,5,0
c5fb137c1d,everything,1,0
d9107173c4,home alone,2,0
bf378c30de,fire hii,2,0
0100c60150,makes see people replying people followers would never reply back,10,1
8e74e2abc3,not good hear hope everything fine keep family prayer love isabela uribe,12,0
e8ce96cedd,ahhh meetings thanks reimer,4,1
86727ae7f2,http twitpic com ljj teenagers need encouragement,7,0
27d75a6a5f,need get tickets though idk gonna happen,7,0
49486e3b2d,ahhh follow dark side night,5,0
5759558ce2,back home tallcree rez cant see boyfriend,7,1
38ba946b2c,strawberry margaritas baked stuffed shrimp,5,0
62ac825994,sorry bad driving experiences,4,1
a6ec2fcc06,guys heard flu going around swine flu hope guys safe deaths already,12,0
4123075cf7,possible phobia phobias afraid look list,6,1
fc7e0cb9eb,figures quoted wildly optimistic stuff science fiction bit disapointed ciber sabip,11,1
7e05e68092,lot boring thought matt lockdown moolah,6,1
d3d7a456da,not properly dragged week,4,1
d77e0100c8,seen either way get experience fantasy sound shock waves vacuum space heh,12,0
e957a21cc8,tour students morning huge pick mothers day speaking luncheon planters nothing boring,12,0
8b6de71666,huh,1,0
2670b9ea2d,download backseat goodbye late album free http freecd backseatgoodbye com,10,0
64fda83760,guy hello back hope happens not occasionally wednesday,8,0
fb6b8565b7,feeling like gonna fall asleep time not,7,1
104f6dca9e,south style exhibition less week member fresh gallery otara,9,0
386a9d352e,people missing point instead loosing followers gaining new ppl hours,10,0
d93bc4e903,definitely missed listening spill canvas miss seeing live well stitches ooooover oooover,12,1
aeb55e479d,not know not worth people actually showed lol,8,0
040e7230e2,sucks man,2,1
403485e5b3,ahh sore throat tired want back bed work,8,1
b59879dd04,rain well still friday,4,0
7a70061c5d,awww kanye west shame doesnt get joke,7,1
e45d640ba0,sooo stressed everything,3,1
f429b761e2,room oven,2,0
8793b4ff93,trying figure use twitter thing hahhh,6,0
a375dccbbc,way work runnin late sooooo tired,6,1
1cb02cf05c,aye may,2,0
a336472bb3,waiting friends call email bleh feel unloved,7,1
346df9d4fa,yes made sign noticed missing sunday far luck unlucky japanese cat,11,1
9e7f2ad135,could well last post,4,0
ac33177eec,venti black ice tea pumps classic,6,0
07e2afe564,yep,1,0
867d47a5a8,companies make bag sealers business,5,0
de930fa753,wish could afford attend benefits,5,1
1bfbfda136,sigh stayed late cause role assessment tired eyes stinging head hurts still need words,14,1
3756c05ba5,currency dropping like nobodies business not good time going overseas http jsgl,12,1
d35c9879dd,hurtling headlong day spanish art view tomorrow revision extra frees,10,1
63b1f48a72,sure rainy storm left everything everywhere would love follow,9,0
e3dfffb668,ich auch pinkpop,3,0
63147b35cb,wah sad,2,0
b7e6d162e8,kinda headache,2,1
fc924b75fe,whatev dont anything wear,4,0
25cf98f210,not feeling comfortable today,4,1
013b686a0a,searching followers,2,0
527815714f,pleasure really enjoy random word poetry disappointed miss participating,9,0
a5932c1ecb,god cheesy disco music started everyone getting tables need wine,10,1
1190d0c735,sigh bed try get crummy hrs sleep horrid hour day smh niterzzz evry not let twitterbugz bite,17,1
7ebb5158c3,gdit ranger game afternoon,4,0
337328b96a,sunday morning,2,0
d849ca0fd6,try direct message twitter,4,0
e8c53dadef,zorz peep count lucky gonna say word instead rsvp sorry cant come birthday day,14,1
b27cd21f87,california waiting every little thing gotta right putz adoro essa banda,11,0
a14955274a,think maybe cold,3,0
b59a33cbaf,needs words part freedom another assignments exams,7,0
5733c8453b,sasha helped course,3,0
0be4c3c292,mel feel unhappy take bit fries not overdo help not,10,1
6824c44c21,neither,1,0
e9f9565ec3,drat land boots died think boots like parsley one going seed first season,13,1
b761b09fbd,finished exams almost moved halls leaving london tomorrow,8,0
39af08ad27,gotta get early tomorrow gotta work,6,0
81cab1b777,ugh stupid teenagers showed peaceful time,6,1
263107d340,flight home awesome trip cousin miss sophia,7,0
a97f9d02c6,officially holiday week center parcs internets bye peeps see return,10,0
61aa37e135,one final,2,0
ebcdf07ac5,week post horrible traumatic jumping cholla accident cholla next dirty trick pieces starting emerge hand ouch,16,1
5687f03c2b,got home last day school graduation tomorrow,7,0
4c822b82fb,sorry today nothing heartbreak,4,1
0bd03a386c,currently emarosa new album shiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiit haha,6,1
b867858e93,yeah stomach bug something fever etc not fun,8,1
b57eb445ce,wow friends twitter,3,0
563ecd5b59,exhausted coming home swim morning tiring remember happy mothers day,10,1
ec54adf4e2,stay play,2,0
241a132a38,trying get pilot first season friday night lights gosh pass tissue,11,0
dd2a3bd5b8,finally yay seriously made day fellow hell ruler,8,0
83a98304f9,traffic still not see sun,5,0
fdc279b3c0,days boyzone,2,0
675290d478,chance might come back moncton miss show tonight,8,1
be5c162ed7,hot hate summer harrymcflytosing,4,1
72d01e41f5,home relatives sissy posted pics cupie cousin audrey,8,0
c489f325a3,paid bills money,3,1
edfd329432,waiting someone sms weeks nearly month,6,0
0db6b2d73f,friends wanted try yesterday failed whole net thingy worked fine,10,0
5748c7547d,hellooo gosh miss seeing around thought last night amarula,9,1
6972e131a2,loll whats boyfriend supposed mean cold,6,1
39aa972f8e,hey honey bear not goooooooo puhleeezeee,6,0
cd521f760b,exactly prefer give money play outside house stupid internet connection always ruining instances wow,14,0
3e7bbe922c,student walked balling witnessed dog getting hit street not know cheer,11,1
675e92d47e,translation going,2,0
021f8be6b0,watching movie playin computer,4,0
10efc04a3a,tgif gorgeous day reno today stuck inside,7,0
bf1fa3ebab,mostly going work update twilight blog basically life sleeptime,9,0
4b90e7fb69,really borde dont know,4,0
c54fd3a21d,tying run let hold raiders,5,1
3c4b75ec7f,cant find red light reminds amy,6,0
7a4a97fba9,birds man not cool not sleep yet night,8,1
ff6890afa3,traveling today see grandpa hospital yet another road block cross fro family,12,1
294ac30b99,whew literally shopped till dropped sprained ankle ugh see sacrifices make,11,1
ee0a6206e0,not guys something grim fandango not wanna see xbla psn call tony plana call tim,15,0
abb85af198,called retro dear wear fifties fashion sometimes not see birthday pictures,11,0
9668542b2a,argh noo missed killers wossy sucks missed brandon total failure anyone know repeated must investigate,15,1
782c5a87e1,breaks heart,2,1
6f47fd4264,nothing like kick bank holiday dig haircut luke next stop selfridges,11,0
bf51b25919,bored death,2,1
b4f4f3c12b,listening revenge kiss get inspiration not think kristie really digging though,11,0
c36155ddc2,open thing,2,0
0ab8f9c4bc,okay dedicating tweet fact going apple store huge crack glass screen,11,0
ad360dc709,mmmm honey mustard chicken rice veges,6,0
6f8bd2c26d,wee done advance audit paper,5,0
70118544bf,nos happened,2,0
5f2fe28153,see dont,2,1
747d1af3d6,allergic,1,1
5cb61942ba,yayz today day call see got job ish happy even though slept horribly kinda drained,15,0
168216a4a6,not yet still loading,4,0
9fda61503d,panasonic charger sorry,3,1
0af54b2e65,yes see mitch hedberg whole floss thing hilarious poor guy,10,0
74d2734a64,yeah probably happen,3,0
8891f2aaa6,going fafsa form today hope help ann arbor detroit metro area computers art design,14,0
2cae83a3db,june july,2,0
cf023b846b,hey dave whasup,3,0
2f955c2829,probably spamming follower account,4,1
ea0856046c,got back karaoke bar metreon watching millionaire matchmaker,8,0
703ac31c4c,dont feel good sick stomach,5,1
f92d6bb63e,almost hours work time could not slow,7,0
f49793eb70,cool classes offered summer boo,5,0
a93577c299,cloud croatian apartments,3,0
9fd06d16fa,day nothing,2,0
33231252fd,cause ovie one man team show pens highlights whole superstar,10,0
d3b3d844df,gosh need rude,3,1
2cd9c7bc96,thinks limit letters really not fair would good,8,1
1e8422f197,not remember text twitter get list commands halp,8,0
d336797d37,gee totally hatin like real mean like duh studied enough need refreshing tonite hard,14,1
762b9211cf,counting hours lost sunshine weekend,5,1
2d710a2cca,seems grandmother found way break pipe house going fix blur woman,11,1
491eed2fe4,experimenting puppet think wiped drive workstation,6,0
6cedca1722,making life bounds shirt second life,6,0
ab0e0aa0a9,send,1,0
a415ab31ba,hate working nights cos not really able enjoy gorgeous weather asleep,11,1
1850ef0ecf,sick not seem like getting good,6,1
1f42d08f3e,referring lil exchange regards twitter archive postings,7,0
83282b999c,christa mothers day card deep build phase photo http bkite com,11,0
93d102ad3f,kid congrats still jobless,4,0
e2f13cdbb4,well saw dead zone first time good show back,9,0
1bbda34933,pilates tweet soon,3,0
bf73c02eb3,listening new jonas brothers song,5,0
77dbfbfb73,tonight snl not dissapoint lol,5,1
b01214538a,myweawkness chocolate not say,4,1
05e5046ee4,cool tempted see feel sorry though hardly people,8,0
5c76618adf,got thinkin weird dog,4,1
1dec7590cb,hehee yea supposed sound mean hahhaa,6,1
1bdd6d727a,dude always going midnight screenings wish lived city well tmrw rubbish,11,0
264f074dc9,happened weather,2,0
9f07307c90,getting ready leave girl scout metting not feel like,9,1
65ac6dcd89,snap breaking,2,1
3e4ed9397f,parents wachting terrible nothing else sad,6,1
537320d6a6,anything good country,3,0
50abea1a42,strangely enough yes works may not everyone,7,0
5399d6cddd,art thou miss,3,1
a1d7004bc4,going happen one day feel girl mum,7,1
add7ad6a3f,eating flake storm hungry jacks americans call burger king,9,0
9a40fcdac4,lol wrong workin right sowwwy,5,1
39f5703577,interesting see differing accounts mandy always accounts robbie monk,9,0
3dc678e830,got knight,2,0
3225dafa41,val not sure youre talking not ferris wheel couch,9,0
eeb70d82b3,tired sick time,3,1
c2a17084e9,days matt fun weekend,4,1
1186ca4490,heard icecream truck took like shot could not catch,9,1
0903386a1d,not workplace short sleeved shirt absolutely necessary today,8,0
7d5bb2419b,threee words youtube bamboozle show,5,0
2313388e7c,get back home first exam long time finish,8,0
0fe48b0fce,resistance futile needed pretties knit,5,1
d14bb55bf3,sure going,2,0
f314c3640b,another night not sleeping,4,0
66f785f491,already,1,0
f8022382fb,man good something fix ugh stupid verizon,7,1
7640d8aa07,crazyangel noooo not get,4,1
1434b25cb5,woke dont want work,4,1
a691ab2555,going bed,2,0
9814561b92,wut,1,0
7e3f57c60c,found one ankles swollen eeks hurts,6,1
5f2c4039cd,little tune want www soompiradio com,6,0
20b1b9cc25,willie pouting grandma not put treats food http apps facebook com dogbook profile view,14,1
8aafc1514d,soch hah nooo obly one aumfff hate nick datin miley,10,1
746d6009d2,look like schuhz arabyrd,4,0
176dae0780,remember nerd hurdles rocks especially tale currency ironpoodonia,8,0
a1fc050e50,thinking today longg day,4,0
69f86ba697,think sun moon god way reminding always watching,8,0
892d6de8e4,wants everyone know watch cypher,5,0
52fa3df35b,watching love eating chinese food else home alone friday night,10,0
b49d517883,wut want shot,3,0
648d9a9381,california budget deficit billion means big problems lots cuts including state parks,12,1
c0d5b45663,joined facebook,2,0
57b52dc10e,apparently distant relative died east africa leaving heir send,9,0
a38dea7f37,matta take well know quiz made one day one took yet put pics yday,14,0
29203e3cc5,welcomes nephew christian world,4,0
5f9fe2fbde,work group home,3,0
7fdd85f10c,got tuesday gotta write short post today tho,8,0
97236bb589,got firefox working get back bookmarks,6,0
b06ec44a08,navy blue black nailpolish think stained nails little,8,0
413125e9eb,dude fail know exactly place,5,1
a7795cf623,one week race cure please donate able http bit ufr wish luck mile training run tomorrow,16,0
429adbb1ed,aww dude fair thought point thing,6,1
bb7b30264b,cleaning old apartment today yay,5,0
4fd8efcb9f,fish feel pain yes says new study http jbcg,9,0
2f6d9d1419,stackeoverflow http bit nfk,4,0
375b8367d1,yeah stop making fun gotta get new ones,8,1
459fc2a7c8,like friends kinda sad,4,1
e17b606c9c,whoishonorsociety never wear pajama pants school,6,0
